text,category
نوشتن ایمیل برای مشتری,کاری
پیگیری درخواست مشتری,کاری
آماده کردن جلسه,کاری
تنظیم برنامه کاری,کاری
تماس با همکار,کاری
بررسی گزارش کاری,کاری
انجام وظیفه محول شده,کاری
تمیز کردن خانه,شخصی
پیاده روی عصرانه,شخصی
مطالعه رمان,شخصی
مرتب کردن میز,شخصی
تماشای سریال,شخصی
آشپزی برای شام,شخصی
استراحت کردن,شخصی
رسیدگی به وسایل شخصی,شخصی
برنامه ریزی برای آخر هفته,شخصی
تمرین نقاشی,شخصی
خرید میوه,خرید
خرید کفش,خرید
خرید یک لپ تاپ جدید,خرید
خرید لوازم تحریر,خرید
خرید لباس زمستانی,خرید
خرید وسایل آشپزخانه,خرید
خرید هدیه تولد,خرید
خرید شامپو,خرید
خرید کتاب,خرید
خرید کابل شارژ,خرید
پرداخت قبض برق,مالی
پرداخت قبض اینترنت,مالی
بررسی حساب بانکی,مالی
پرداخت شهریه دانشگاه,مالی
بررسی هزینه های ماهانه,مالی
پرداخت قسط,مالی
پیگیری تراکنش بانکی,مالی
برنامه ریزی بودجه ماهانه,مالی
بررسی درآمد و هزینه,مالی
پرداخت بدهی,مالی
رفتن به باشگاه,شخصی
تمرین در باشگاه,شخصی
تمرین بدنسازی,شخصی
ورزش صبحگاهی,شخصی
ورزش عصرگاهی,شخصی
رفتن برای ورزش,شخصی
دویدن صبحگاهی,شخصی
دویدن عصرگاهی,شخصی
پیاده روی در پارک,شخصی
رفتن به استخر,شخصی
تمرین ورزشی,شخصی
انجام تمرین بدنی,شخصی
یوگا انجام دادن,شخصی
تمرین فیتنس,شخصی
استراحت در خانه,شخصی
خرید وسایل ورزشی,خرید
خرید کفش ورزشی,خرید
خرید لباس ورزشی,خرید
خرید دمبل,خرید
خرید لوازم باشگاه,خرید
خرید کتاب درسی,خرید
خرید لپ تاپ برای دانشگاه,خرید
نوشتن برنامه پایتون,برنامه نویسی
رفع خطای کد,برنامه نویسی
ساخت اپلیکیشن,برنامه نویسی
مطالعه برای امتحان دانشگاه,دانشگاه
حضور در کلاس دانشگاه,دانشگاه
جلسه با مدیر شرکت,کاری
پرداخت هزینه باشگاه,مالی
برای فردا آماده بشم,شخصی
یه کم به خودم برسم,شخصی
امروز استراحت کنم,شخصی
وقت بیشتری برای خودم بذارم,شخصی
عصر بیرون برم,شخصی
آخر هفته برنامه داشته باشم,شخصی
صبح زود بیدار بشم,شخصی
وسایلم رو مرتب کنم,شخصی
امروز به کارهای خودم برسم,شخصی
یه ساعتی برای خودم وقت بذارم,شخصی
چند تا وسیله لازم دارم,خرید
چیزهای لازم رو تهیه کنم,خرید
برای خونه چند چیز بگیرم,خرید
یه چیزی برای خودم بخرم,خرید
وسایل مورد نیازم رو تهیه کنم,خرید
چند قلم مورد نیاز بگیرم,خرید
کارهای امروز رو انجام بدم,کاری
کار عقب افتاده رو پیگیری کنم,کاری
موضوع رو پیگیری کنم,کاری
کار امروز رو تموم کنم,کاری
فایل رو آماده کنم,کاری
برای فردا آماده باشم,کاری
موضوع رو بررسی کنم,کاری
چند ساعت تمرین کنم,برنامه نویسی
یه چیزی رو پیاده سازی کنم,برنامه نویسی
مشکل برنامه رو پیدا کنم,برنامه نویسی
روی پروژه کار کنم,برنامه نویسی
یه قابلیت جدید اضافه کنم,برنامه نویسی
کدم رو بررسی کنم,برنامه نویسی
مطالب رو مرور کنم,دانشگاه
برای فردا آماده بشم,دانشگاه
کارهای درسی رو انجام بدم,دانشگاه
روی تکلیف کار کنم,دانشگاه
مطالب جدید یاد بگیرم,دانشگاه
حسابم رو بررسی کنم,مالی
هزینه‌هام رو بررسی کنم,مالی
ببینم چقدر خرج کردم,مالی
پرداخت رو انجام بدم,مالی
وضعیت حسابم رو چک کنم,مالی
باید بخرم،خرید
باید انجام بدم،شخصی
باشگاه برم،شخصی
